Time,Time Code,Country Name,Country Code,GDP per capita (current US$) [NY.GDP.PCAP.CD],"Manufacturing, value added (current US$) [NV.IND.MANF.CD]","Population, total [SP.POP.TOTL]"
2021,YR2021,Maldives,MDV,10076.3175303966,112181942.695496,521457
2021,YR2021,Mali,MLI,881.510088733585,1294963326.96113,21904983
2021,YR2021,Malta,MLT,34881.2912726609,1227929866.86344,518536
2021,YR2021,Marshall Islands,MHL,6130.4371365469,5869397.64022827,42050
2021,YR2021,Mauritania,MRT,1998.39400265586,561514932.632544,4614974
2021,YR2021,Mauritius,MUS,9068.98018051209,1343491932.52439,1266334
2021,YR2021,Mexico,MEX,10359.1498625832,273639307229.807,126705138
2021,YR2021,"Micronesia, Fed. Sts.",FSM,3588.75993317482,2067616.53123865,113131
2021,YR2021,Moldova,MDA,5274.74484719747,1319925503.39367,2595809
2021,YR2021,Monaco,MCO,235132.784182144,..,36686
2021,YR2021,Mongolia,MNG,4566.14013029182,1086740980.08144,3347782
2021,YR2021,Montenegro,MNE,9465.96153027794,225835337.370191,619211
2021,YR2021,Morocco,MAR,3767.52490234375,21349206384.5249,37076584
2021,YR2021,Mozambique,MOZ,504.037787143107,1303947214.54212,32077072
2021,YR2021,Myanmar,MMR,1231.69466580785,16988097508.7762,53798084
2021,YR2021,Namibia,NAM,4919.18895548026,1336607192.45805,2530151
2021,YR2021,Nauru,NRU,11632.6925020419,..,12511
2021,YR2021,Nepal,NPL,1229.39420516246,1759851850.36905,30034989
2021,YR2021,Netherlands,NLD,58727.8705471475,114208952562.014,17533044
2021,YR2021,New Caledonia,NCL,37247.4931167883,..,270390
2021,YR2021,New Zealand,NZL,49996.4206725811,..,5111400
2021,YR2021,Nicaragua,NIC,2064.92924633583,1969092903.96692,6850540
2021,YR2021,Niger,NER,590.629494752737,1139424646.6411,25252722
2021,YR2021,Nigeria,NGA,2065.77441035114,64409675734.208,213401323
2021,YR2021,North Macedonia,MKD,6778.56287821774,1868415789.50398,2065092
2021,YR2021,Northern Mariana Islands,MNP,..,..,49481
2021,YR2021,Norway,NOR,93072.8925119571,28265541327.1246,5408320
2021,YR2021,Oman,OMN,19509.4664633867,8046658257.47724,4520471
2021,YR2021,Pakistan,PAK,1506.10829305917,41594472841.3586,231402117
2021,YR2021,Palau,PLW,12921.8273205171,2451591.73509665,18024
2021,YR2021,Panama,PAN,15491.2898013383,3508659000,4351267
2021,YR2021,Papua New Guinea,PNG,2624.60411021362,444303365.529584,9949437
2021,YR2021,Paraguay,PRY,5959.44179393627,7666502312.33743,6703799
2021,YR2021,Peru,PER,6635.46414809173,26031077006.0151,33715471
2021,YR2021,Philippines,PHL,3460.53938169242,69517347395.6685,113880328
2021,YR2021,Poland,POL,18050.2794441161,118276244523.503,37747124
2021,YR2021,Portugal,PRT,24661.1664874576,31597374566.1429,10361831
2021,YR2021,Puerto Rico,PRI,32601.5656391821,48654300000,3262693
2021,YR2021,Qatar,QAT,66858.7417226715,15747952861.0862,2688235
2021,YR2021,Romania,ROU,14946.624968678,..,19122059
2021,YR2021,Russian Federation,RUS,12532.05078125,236427361335.319,144130482
2021,YR2021,Rwanda,RWA,821.171394808138,1014958354.27151,13461888
2021,YR2021,Samoa,WSM,3857.68974206459,41135304.9296391,218764
2021,YR2021,San Marino,SMR,54982.451714817,608080715.612064,33745
2021,YR2021,Sao Tome and Principe,STP,2350.45270097134,4372672.7387609,223107
2021,YR2021,Saudi Arabia,SAU,24315.6185511873,115451373513.792,35950396
2021,YR2021,Senegal,SEN,1633.56011890357,4132151931.90169,16876720
2021,YR2021,Serbia,SRB,9232.96160604855,8208616250.77091,6834326
2021,YR2021,Seychelles,SYC,12963.0589802139,90742464.9227891,99258
2021,YR2021,Sierra Leone,SLE,504.621287621531,79790888.8660056,8420641
2021,YR2021,Singapore,SGP,77710.0892373091,88088647195.3869,5453566
2021,YR2021,Sint Maarten (Dutch part),SXM,31711.6119870909,15838180.2987532,42668
2021,YR2021,Slovak Republic,SVK,21768.1486708026,24191364622.3988,5447247
2021,YR2021,Slovenia,SVN,29331.0647010043,12346676954.7324,2108079
2021,YR2021,Solomon Islands,SLB,2232.53695397683,..,707851
2021,YR2021,Somalia,SOM,576.523678242108,..,17065581
2021,YR2021,South Africa,ZAF,7073.61275411821,50087876348.4691,59392255
2021,YR2021,South Sudan,SSD,..,..,10748272
2021,YR2021,Spain,ESP,30488.8209528797,163441700709.3,47415794
2021,YR2021,Sri Lanka,LKA,3996.57199501251,15918769114.9769,22156000
2021,YR2021,St. Kitts and Nevis,KNA,18035.3861402469,41214814.8148148,47606
2021,YR2021,St. Lucia,LCA,10916.2270797887,54222222.2222222,179651
2021,YR2021,St. Martin (French part),MAF,20320.7168789132,..,31948
2021,YR2021,St. Vincent and the Grenadines,VCT,8360.0642393726,30103703.7037037,104332
2021,YR2021,Sudan,SDN,749.706787109375,..,45657202
2021,YR2021,Suriname,SUR,5026.87949279073,674875482.233503,612985
2021,YR2021,Sweden,SWE,61417.6808766469,84199893023.2292,10415811
2021,YR2021,Switzerland,CHE,93446.4344518943,155545393779.95,8704546
2021,YR2021,Syrian Arab Republic,SYR,420.622705161108,..,21324367
2021,YR2021,Tajikistan,TJK,916.691967061922,1340569553.93342,9750064
2021,YR2021,Tanzania,TZA,1146.03198242188,5670025579.9439,63588334
2021,YR2021,Thailand,THA,7060.89770696418,137400263369.782,71601103
2021,YR2021,Timor-Leste,TLS,2741.95081994516,27265900,1320942
2021,YR2021,Togo,TGO,976.666183129642,..,8644829
